Game,Reviewer,Completeness,Aesthetics,Fun,Innovation,Scope,Roguelike,Full Review
Professional Sword Tester the Roguelike,Anonymous,"2 - The game seems feature complete, but lacking polish. Specifically, it would be nice to seem some more visual feedback about enemies wield weapons with special properties and a tighter, less nethacky, set of controls would help too.","2 - The graphics are functional, but the the controls are a bit harsh. All of legacy nethack-style controls that break up the flow of play.","2 - I died a lot and I died quick. Some deaths were unfair (insta-killed when descending to a new level) but most were because I was rushing. I would still like to finish the game, but grinding through enemies gets frustrating.","2 - While innovative weapon schemes are a common theme in 7DRLs, using the need to balance the versatility of carrying a full load of weapons with the bonuses of having empty slots and polymorphing frequently is an interesting mix. ",2 - It seems like a fair amount of content in both monsters and items added to an existing system with a new combat system added.,"3 - The game is a dungeon crawl through procedurally generated levels with turn-based movement and permadeath, all the major marks of a roguelike.","The game's shtick is that both the player and the monsters have built in bonuses and abilities, and both can carry weapons that give them additional bonuses and abilities. While the enemy's are usually fixed at spawn, the player can adjust theirs by equipping different weapons and polymorphing into monsters. It reminds me a bit of Desktop Dungeons in the sense that every floor can be viewed as a puzzle, where killing monsters in a certain order will maximize your survival while minimizing your expenditure of resources (levels, and thrown weapons). Without diving hard, I had a hard time getting past the 3rd level and I honestly can't tell if that's because the game is just poorly balanced or I lack the skill to play it effectively."
Warden,Anonymous,"3 - Game is complete, 10 levels, a handful of items and enemies","2 - Functional graphics and controls. Nothing fancy required, nothing of the wall delivered.","2 - Fun as a coffee RL, but after you've beaten it, there isn't much reason to replay. It might just be my 1337 gamer skills showing, but I was never in any real danger and I think I only lost a single power in my first playthrough. I probably could have finished without the power restoring potions.","1 - Nothing new here. The ""regen health only on killing"" mechanic has been done before. This is one of the most pure implementations that I've seen.","2 - Seems little light for a 7DRL entry, but still in the range of possible.","3 - The game is a dungeon crawl through procedurally generated levels with turn-based movement, it's missing inventory management and the ""power"" concept could be considered cheating the permadeath concept, but it doesn't take any steps outside of the genre.","Overall this is a tight little roguelike. With stamina that decreases every time you step or take a hit and the only way to recover health being rather rare potions and general slaughter, the game plays pretty fast and neat: Find the shard, find the steps, kill enough to keep stamina up, repeat. The difficulty is a bit low, though I can say if that was the intent or a balance problem and the enemy behavior is easy to game (waiting for a turn doesn't cost stamina, so entering a room and leaving to wait for the enemies to chase you down a corridor is a devastatingly effective tactic). It's a coffee break RL that is good for a play-through."
Mutant Aliens,Anonymous,"3 - Game feels complete. All the items seem to be working as intended, most everything else is procedurally generated. ","1 - ASCII graphics are functional, but the controls are a tough sell. Commands are very nethacky with required use of the Shift key where it need not be used. The game could probably have been made using the keys near WASD and the numpad/vi-keys without any problems","2 - A fun coffee RL with a variable difficulty setting. Once you've got the hang of it, it's more a matter of luck than skill. More varied environments and map features would significantly add to replayability. ","2 - At its heart Mutant Aliens is a FEDEX quest where you deliver explosives to point B and return to point A, however it packages the mission in a unique wrapper and adds some features that are rarely implemented well in roguelikes (e.g procedural enemies)",2 - Pretty much right on target for a 7DRL. The developer definitely did a good job polishing this one. Features like destructable terrain are implemented quite well.,"3 - Features procedural levels and enemies, turn-based movement and permadeath. Definitely a full fledged RL ","As of this review, this is the best coffee break RL I've played in this crop of 7DRLs. The scope doesn't try to include elements that other more tradition RLs cut down to fit in the coffee break envelope. The learning curve is a bit steep, but that's what the variable difficulty setting is for. My only major complaint is the control scheme, which rates only a step behind Cataclysm as my least from control scheme so far this year. The only other complaint is for low replayability and lack of a leaderboard. Maybe rank by ""time to complete"" and ""alien catalog"" or something. "
Waaghammer,Anonymous,3 Competent implementation and a good set of features,"3 Looks good for the most part, though the dark-blue player avatar can be hard to distinguish at times. Nice little touches like the gray fade of the message lines. Having the single-choice option to choose ""race [1] Orc"" for the orc campaign was a nice touch too.","2 Good basic gameplay, but balance seems a bit off. It's very easy to die, and you don't get that much stuff to keep from dying.","1 Warhammer is fun, but the thing is still all derivative, and the interface is standard competent modern coffeebreak RL, and the game content is just chopping up mobs.","2 Good on feature-completeness, but the campaign scenario is pretty basic.",3 Very much one.,"It's a WH40K themed game where you play an orc (aren't those 'Orks' in the verse) and chop up some mobs in a swamp. Most of those seem to be other orcs instead of the space marines or space elves I figured the space orcs spent more time chopping up. It's easy to get killed, either by being swarmed or by bleeding to death. There is also an arena campaign, but that seemed a bit bugged. The orc character shows up as ""space marine"" in the status panel there, and one game I just got a bunch of empty levels until the game crashed when I tried going down on Arena 9. Only had a Windows binary, no source. Got it to work by running `winetricks vcrun2008` and then using Wine."
Hope,Anonymous,"2 The basic system is in place, but there's some serious overreaching with the multiple worlds thing, and they all end up feeling pretty half-baked.","2 The tiles go for a 16-bit videogame sprite look instead of the normal roguelike abstraction, but they are quite ugly for that. Still, you generally know what you're looking at.","3 Very fun innovative concept, though I had no idea what I was meant to be doing in the master world (""surviving"" doesn't really cut it for a game), and the sub-worlds were often very unbalanced (though it kinda makes sense in context that they might be).","2 The central gimmick is original, but the whole thing doesn't really come together as well as it could.","3 Massively beyond the 7DRL scope, each of the worlds could use a 7DRL's worth of individual attention, and there are like 20 of them.","3 The theme is unusual, but the gameplay is pretty straight roguelike.","Unique concept, which you'll want to learn by playing this instead of reading about it here. Unfortunately the 7DRL nature hurts the game in a couple of ways. First, the idea really demands a much larger amount of diverse attention than is possible in the 7D timespan. The other problem is that the graphics try to evoke classic 16-bit games very directly, and fall very much short in quality from those. This thing might have worked better in plain ASCII (better yet, use the tiles for the ""realistic"" master world and ASCII for the subworlds)."
Cogmind,Anonymous,3 Very polished and feature-complete.,"3 Neat phosphorus-terminal aesthetic that mostly works well with figuring out the world, though item-clutter can be confusing, and a nice positional inventory and equipment managing system.","2 Nice to play, but the robot gunfights are a bit boring back-and-forth, with little feedback on how well you are taking the enemy apart.","2 Quite unique setting, and mostly makes it feel like you're operating a modular robot. Pretty standard roguelike mechanics otherwise.",2 Looks about right for 7DRL,3 It's a roguelike,"A robot game where you're a robot and must take down other robots who have gone rogue. To do this, you attach various guns to yourself. If your guns get broken, you can't fight. If you run out of energy, you can't move. That pretty much fits with the whole being a robot thing, you don't get quite the same flexibility as a proper biological critter."
GatewayRL,Anonymous,"2 Basic functionality is there, but there are some rough edges","1 It works, and the Gateway drop sites are rendered nicely enough, but particularly the menu UI is very rough both functionally and visually, and the text messages are ungrammatical, ""you irradiated"".","2 There's basic gameplay there, but the interface is cruddy and there doesn't seem to be much goals to aspire to. You get money from the missions, but can you buy anything with it?","2 Points for the original theme, nothing very interesting gameplay-wise.",2 Looks about right for 7DRL,3 It's a roguelike,"A game based on Frederik Pohl's Gateway novels. It does capture some of the feeling of the Gateway universe, mixing the aimless lounging at the station and planning the next random jump and the tense jump site operations. Representing the alien artifacts as just ""$200 loot"" is a bit boring  though, and misses the idea that it often takes time to figure out just what you have got. This theme really could use the identification minigame. For some reason, saw fit to inform me that my character is 'Ugly'."
Smooth Rogue,Anonymous,2 Things are in place and work.,"2 Using Unity, graphics are pretty simple but do their job. The continuous non-real-time input system is an experiment that doesn't quite work.","1 Doesn't seem to have much to do beyond slashing at the single type of enemy, and the control system doesn't allow for much crisp tactical maneuvering.",2 Both using 3D graphics and trying to mesh continuous space movement with non-real-time gameplay are worthwhile experiments.,"2 Gameplay is quite minimal, but once you factor in the 3D stuff it's pretty much on the mark.","2 It has all the standard trappings otherwise, but losing the crisp cell-based movement makes this feel like a sluggish action RPG.","A rather minimal game done in Unity, where you wander into a 3D dungeon somewhat reminiscent of Egoboo to slash up green critters. The game uses action RPG style smooth movement, though things only proceed when you press on keys. This ends up combining the inaccurate controls of action RPGs with the slow pace of turn-based games, and doesn't really work that well as it stands. There is little else to do in the game, there doesn't seem to be any items or powers that would spice up the basic hack-slash gameplay."
Cave Chop,Anonymous,3 Looks feature-complete and polished,"2 It's an old-school terminal game, quite by-the-book. Unfortunately the book includes things like dedicated keys for reading scrolls and putting on rings. Modern terminal games might also want to take advantage of terminals with more than 80 columns.","2 Regular roguelike gameplay, but I'm not quite sure why I'm a princess and what I'm supposed to be doing. Apparently it's a score attack thing.",1 Bog-standard Generic Fantasy setting with the usual roguelike tropes,2 A polished but not very ambitious game,3 It's a roguelike,"An old-school game where the purpose is just to dive deep and rack up score. It does its thing competently, but the thing is forgettably generic."
Roadlike,Anonymous,3 The concept is realized quite definitively,3 The visuals work and the single key you have does what you expect it to.,"2 It's fun for around two minutes, but those are fun two minutes.","1 It's certainly a creative submission, but it doesn't really advance the state of the roguelike design art otherwise.",1 I suspect this took less than a full 7 days to make.,1 Not a chance.,It's a joke game where you run down critters with a car. Running down critters with a car is fun though.
